159.203.90.113 - - [17/Sep/2016:21:11:26 -0700] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41846 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
159.203.90.113 - - [17/Sep/2016:21:11:35 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23825 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
159.203.90.113 - - [17/Sep/2016:21:11:51 -0700] "GET /Bowie-Dentists/blog.php HTTP/1.1" 200 416 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
159.203.90.113 - - [17/Sep/2016:21:11:56 -0700] "GET /Bowie-Dentists/index.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
159.203.90.113 - - [17/Sep/2016:21:12:15 -0700] "GET /Bowie-Dentists/meet-staff.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
159.203.90.113 - - [17/Sep/2016:21:12:26 -0700] "GET /Bowie-Dentists/Dental-Links.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
159.203.90.113 - - [17/Sep/2016:21:12:31 -0700] "GET /Bowie-Dentists/Patient-Before-After-Gallery.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
159.203.90.113 - - [17/Sep/2016:21:12:36 -0700] "GET /Bowie-Dentists/Preventive-Dentistry-Maryland.html HTTP/1.1" 200 39411 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
159.203.90.113 - - [17/Sep/2016:21:12:41 -0700] "GET /index.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/Bowie-Dentists/Preventive-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
68.109.166.233 - - [17/Sep/2016:21:36:05 -0700] "GET /img/night-guard.jpg HTTP/1.1" 200 106940 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1" "www.superior-dentistry.com"[1]
62.138.2.243 - - [17/Sep/2016:21:43:30 -0700] "GET /Bowie-Dentists-Sitemap.html HTTP/1.1" 200 28379 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
180.76.15.147 - - [17/Sep/2016:21:48:06 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36" "superior-dentistry.com"
180.76.15.136 - - [17/Sep/2016:21:48:07 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36" "superior-dentistry.com"
180.76.15.152 - - [17/Sep/2016:21:48:11 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36" "superior-dentistry.com"
