178.137.95.240 - - [08/Sep/2016:18:07:39 -0700] "GET / HTTP/1.1" 200 38900 "http://tomsk.xrus.org/" "Mozilla/4.0 (compatible; MSIE 7.0b; Windows NT 6.0)" "www.superior-dentistry.com"
207.46.13.101 - - [08/Sep/2016:18:08:05 -0700] "GET /?_escaped_fragment_=treatments/cee5 HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
54.162.70.116 - - [08/Sep/2016:18:14:13 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "LocalBot" "www.superior-dentistry.com"
68.100.46.189 - - [08/Sep/2016:18:28:26 -0700] "GET /img/offer-31-05-2014-new-patient.jpg HTTP/1.1" 200 15365 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"[0]
66.249.69.144 - - [08/Sep/2016:18:44:50 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1473292800033&trustedOrigins=www.superior-dentistry.com%2C%2F%2Fwww.superior-dentistry.com%2Chttp%3A%2F%2Fwww.superior-dentistry.com HTTP/1.1" 404 89 "-" "Googlebot-Video/1.0" "www.superior-dentistry.com"
207.46.13.135 - - [08/Sep/2016:18:53:13 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.135 - - [08/Sep/2016:18:53:15 -0700] "GET /Dentist-Bowie-MD/css/ HTTP/1.1" 200 1872 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.135 - - [08/Sep/2016:18:54:05 -0700] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 25411 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.135 - - [08/Sep/2016:18:54:05 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.135 - - [08/Sep/2016:18:54:06 -0700] "GET /Bowie-Dentists/Childrens-Dentistry-Maryland.html HTTP/1.1" 200 28854 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.135 - - [08/Sep/2016:18:54:06 -0700] "GET /Bowie-Dentists/Preventive-Dentistry-Maryland.html HTTP/1.1" 200 39411 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
180.76.15.148 - - [08/Sep/2016:18:56:36 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 31634 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
71.178.5.232 - - [08/Sep/2016:18:56:45 -0700] "GET / HTTP/1.1" 200 38900 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.178.5.232 - - [08/Sep/2016:18:56:45 -0700] "GET /img/logo.jpg HTTP/1.1" 200 139628 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.178.5.232 - - [08/Sep/2016:18:56:45 -0700] "GET /img/dental-implants.jpg HTTP/1.1" 200 22844 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
