54.144.97.150 - - [20/Apr/2016:17:48:56 -0700] "GET / HTTP/1.1" 200 38166 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:56 -0700] "GET /Referral_Form.pdf HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:56 -0700] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:56 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:56 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /dental-implants.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /firstvisit.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET / HTTP/1.1" 200 38166 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /treatment.php HTTP/1.1" 200 21262 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /Dentist.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET / HTTP/1.1" 200 38166 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /testimonial.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:57 -0700] "GET /firstvisit.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
103.208.244.189 - - [20/Apr/2016:18:19:28 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "-" "www.superior-dentistry.com"
198.16.7.150 - - [20/Apr/2016:18:42:37 -0700] "GET / HTTP/1.1" 200 38166 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
52.3.146.92 - - [20/Apr/2016:18:50:15 -0700] "GET /services.html HTTP/1.1" 200 34139 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [20/Apr/2016:18:50:19 -0700] "GET /blog.php HTTP/1.1" 200 103129 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [20/Apr/2016:18:50:21 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [20/Apr/2016:18:50:23 -0700] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30875 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [20/Apr/2016:18:50:26 -0700] "GET / HTTP/1.1" 200 38166 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [20/Apr/2016:18:50:31 -0700] "GET /dental-implants.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [20/Apr/2016:18:50:32 -0700] "GET /wisdom-teeth.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [20/Apr/2016:18:50:34 -0700] "GET /orthognathic-jaw-surgery.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [20/Apr/2016:18:50:36 -0700] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
