108.48.89.178 - - [10/Oct/2016:17:26:27 -0700] "GET /img/periodontalsurgery.jpg HTTP/1.1" 200 56963 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:26:28 -0700] "GET /img/invisalign.jpg HTTP/1.1" 200 142640 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:26:29 -0700] "GET /img/night-guard.jpg HTTP/1.1" 200 106940 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:26:29 -0700] "GET /img/SnapOnSmile.jpg HTTP/1.1" 200 71471 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:26:29 -0700] "GET /img/Lumineers.jpg HTTP/1.1" 200 70250 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:26:29 -0700] "GET /img/porcelain-veneers.jpg HTTP/1.1" 200 151567 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:26:30 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1476145590016 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
157.55.39.55 - - [10/Oct/2016:17:28:40 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
157.55.39.55 - - [10/Oct/2016:17:32:49 -0700] "GET /Bowie-Dentists/css/bootstrap-theme.css HTTP/1.1" 200 19156 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
157.55.39.55 - - [10/Oct/2016:17:32:49 -0700] "GET /Bowie-Dentists/css/bootstrap.css HTTP/1.1" 200 138415 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.125 - - [10/Oct/2016:17:36:07 -0700] "GET /Bowie-Dentists/js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:40:32 -0700] "GET /img/mainimg8.jpg HTTP/1.1" 200 246879 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:08 -0700] "GET /img/doctor-achievement.jpg HTTP/1.1" 200 200838 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:40 -0700] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:40 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:40 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 138415 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:40 -0700] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:41 -0700] "GET /img/jaw-surgery.jpg HTTP/1.1" 200 27058 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:41 -0700] "GET /img/logo.jpg HTTP/1.1" 200 139628 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:41 -0700] "GET /img/oral-pathology.jpg HTTP/1.1" 200 33395 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:41 -0700] "GET /img/tmj-trauma.jpg HTTP/1.1" 200 22488 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:41 -0700] "GET /img/extraction.jpg HTTP/1.1" 200 30135 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:41 -0700] "GET /img/offer-31-05-2014-whitening.jpg HTTP/1.1" 200 15686 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:41 -0700] "GET /img/offer-31-05-2014-sonicare-brush.jpg HTTP/1.1" 200 13165 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:41 -0700] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 200 71508 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:41 -0700] "GET /img/offer-31-05-2014-new-patient.jpg HTTP/1.1" 200 15365 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"
172.72.154.70 - - [10/Oct/2016:17:41:41 -0700] "GET /img/zocdoc-apt.jpg HTTP/1.1" 200 79396 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8" "www.superior-dentistry.com"[0]
198.16.7.150 - - [10/Oct/2016:17:44:25 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
46.118.118.216 - - [10/Oct/2016:17:58:44 -0700] "GET / HTTP/1.1" 200 38900 "http://voloomoney.com/buy/kupit-gold-wow/" "Mozilla/0.6 Beta (Windows)" "www.superior-dentistry.com"
46.118.118.216 - - [10/Oct/2016:17:58:44 -0700] "GET / HTTP/1.1" 200 38900 "http://taxi-v-eisk.ru/" "Mozilla/0.6 Beta (Windows)" "www.superior-dentistry.com"
46.118.118.216 - - [10/Oct/2016:17:58:44 -0700] "GET / HTTP/1.1" 200 38900 "https://7fon.ru/" "Mozilla/0.6 Beta (Windows)" "www.superior-dentistry.com"
46.118.118.216 - - [10/Oct/2016:17:58:45 -0700] "GET / HTTP/1.1" 200 38900 "http://taxi-v-eisk.ru/" "Mozilla/0.6 Beta (Windows)" "www.superior-dentistry.com"
46.118.118.216 - - [10/Oct/2016:17:58:45 -0700] "GET / HTTP/1.1" 200 38900 "https://7fon.ru/" "Mozilla/0.6 Beta (Windows)" "www.superior-dentistry.com"
46.118.118.216 - - [10/Oct/2016:17:58:45 -0700] "GET / HTTP/1.1" 200 38900 "http://voloomoney.com/buy/kupit-gold-wow/" "Mozilla/0.6 Beta (Windows)" "www.superior-dentistry.com"
54.243.141.178 - - [10/Oct/2016:18:44:07 -0700] "HEAD /Dental-LinkExchange.html HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0" "www.superior-dentistry.com"[0]
54.243.141.178 - - [10/Oct/2016:18:44:07 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 24959 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0" "www.superior-dentistry.com"[0]
198.16.7.150 - - [10/Oct/2016:18:45:13 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
107.142.158.137 - - [10/Oct/2016:18:53:42 -0700] "GET / HTTP/1.1" 200 38900 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36" "www.superior-dentistry.com"
107.142.158.137 - - [10/Oct/2016:18:53:43 -0700] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36" "www.superior-dentistry.com"
107.142.158.137 - - [10/Oct/2016:18:53:43 -0700] "GET /theme.css HTTP/1.1" 304 - "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36" "www.superior-dentistry.com"
107.142.158.137 - - [10/Oct/2016:18:53:44 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36" "www.superior-dentistry.com"
