54.236.1.11 - - [28/Sep/2016:00:35:56 -0700] "GET /images/patientform.png HTTP/1.1" 404 89 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"
54.236.1.11 - - [28/Sep/2016:00:35:57 -0700] "GET /images/meetdr2.png HTTP/1.1" 404 89 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"
54.236.1.11 - - [28/Sep/2016:00:35:57 -0700] "GET /images/meetdr1.png HTTP/1.1" 404 89 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"
180.76.15.146 - - [28/Sep/2016:00:36:19 -0700] "GET /popup/fancybox/jquery.fancybox.js HTTP/1.1" 200 34033 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
54.242.164.91 - - [28/Sep/2016:00:52:02 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (X11; Linux x86_64)AppleWebKit/537.36 (KHTML, like Gecko)Chrome/43.0.2357.134 Safari/537.36http://notifyninja.com/monitoring" "superior-dentistry.com"
198.16.7.150 - - [28/Sep/2016:00:56:28 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
37.115.184.191 - - [28/Sep/2016:01:24:49 -0700] "GET / HTTP/1.1" 200 38900 "http://xn------7cdbapdecfd4ak1bn0amjffj7afu3y.xn--p1ai/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)" "www.superior-dentistry.com"
37.115.184.191 - - [28/Sep/2016:01:24:50 -0700] "GET / HTTP/1.1" 200 38900 "http://www.mosrif.ru/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)" "www.superior-dentistry.com"
37.115.184.191 - - [28/Sep/2016:01:24:51 -0700] "GET / HTTP/1.1" 200 38900 "http://xn------7cdbapdecfd4ak1bn0amjffj7afu3y.xn--p1ai/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)" "www.superior-dentistry.com"
46.118.155.156 - - [28/Sep/2016:01:56:06 -0700] "GET / HTTP/1.1" 200 38900 "http://life-instyle.com/" "Opera/7.11 (Windows NT 5.1; U) [en]" "www.superior-dentistry.com"
46.118.155.156 - - [28/Sep/2016:01:56:07 -0700] "GET / HTTP/1.1" 200 38900 "http://life-instyle.com/" "Opera/7.11 (Windows NT 5.1; U) [en]" "www.superior-dentistry.com"
