149.202.79.125 - - [13/Jan/2016:19:44:15 -0800] "GET /Dental-LinkExchange.html HTTP/1.1" 200 25575 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.15 (KHTML, like Gecko) Ubuntu/10.04 Chromium/10.0.612.3 Chrome/10.0.612.3 Safari/534.15" "www.superior-dentistry.com"
149.202.79.125 - - [13/Jan/2016:19:44:17 -0800] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 19779 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 2.0.50727; Media Center PC 6.0)" "www.superior-dentistry.com"
149.202.79.125 - - [13/Jan/2016:19:44:22 -0800] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 38040 "-" "Mozilla/5.0 (Linux; U; Android 2.3.3; zh-tw; HTC_Pyramid Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "www.superior-dentistry.com"
149.202.79.125 - - [13/Jan/2016:19:44:24 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.8) Gecko/20100214 Ubuntu/9.10 (karmic) Firefox/3.5.8" "www.superior-dentistry.com"
149.202.79.125 - - [13/Jan/2016:19:44:34 -0800] "GET /Bowie-Dentists/Childrens-Dentistry-Maryland.html HTTP/1.1" 200 39945 "-" "Mozilla/5.0 (Windows NT 5.1; rv:21.0) Gecko/20130401 Firefox/21.0" "www.superior-dentistry.com"
77.75.77.119 - - [13/Jan/2016:19:47:46 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://fulltext.sblog.cz/)" "www.superior-dentistry.com"
77.75.77.119 - - [13/Jan/2016:19:47:47 -0800] "GET /images/mainimg1.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://fulltext.sblog.cz/)" "www.superior-dentistry.com"
208.122.6.102 - - [13/Jan/2016:20:26:37 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
38.100.21.63 - - [13/Jan/2016:20:41:57 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.superior-dentistry.com"
38.100.21.63 - - [13/Jan/2016:20:41:57 -0800] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.superior-dentistry.com"
38.100.21.63 - - [13/Jan/2016:20:41:57 -0800] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.superior-dentistry.com"
38.100.21.63 - - [13/Jan/2016:20:41:57 -0800] "GET /index.html HTTP/1.1" 200 38156 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.superior-dentistry.com"
38.100.21.63 - - [13/Jan/2016:20:41:57 -0800] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 32565 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.superior-dentistry.com"
