52.3.146.92 - - [14/Apr/2016:23:43:35 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [14/Apr/2016:23:43:35 -0700] "GET / HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [14/Apr/2016:23:43:37 -0700] "GET /meet-staff.html HTTP/1.1" 200 22166 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [14/Apr/2016:23:43:43 -0700] "GET /blog.php HTTP/1.1" 200 103129 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [14/Apr/2016:23:43:54 -0700] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 27332 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [14/Apr/2016:23:44:04 -0700] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [14/Apr/2016:23:44:05 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 32565 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [14/Apr/2016:23:44:06 -0700] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 19779 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
74.91.22.74 - - [14/Apr/2016:23:50:40 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Windows NT 5.1) BrokenLinkCheck.com/1.1" "www.superior-dentistry.com"
74.91.22.74 - - [15/Apr/2016:00:16:29 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 5.1) BrokenLinkCheck.com/1.1" "www.superior-dentistry.com"
