108.48.192.229 - - [26/Oct/2015:19:23:46 -0700] "GET /img/Dr-Melika.jpg HTTP/1.1" 200 28557 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:46 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1445912626158 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
199.16.156.126 - - [26/Oct/2015:19:23:46 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.124 - - [26/Oct/2015:19:23:46 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.126 - - [26/Oct/2015:19:23:46 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:54 -0700] "GET /services.html HTTP/1.1" 200 34114 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:54 -0700] "GET /img/periodontalsurgery.jpg HTTP/1.1" 200 56963 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:54 -0700] "GET /img/invisalign.jpg HTTP/1.1" 200 142640 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:54 -0700] "GET /img/dental-extractions.jpg HTTP/1.1" 200 165246 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:54 -0700] "GET /img/dentures.jpg HTTP/1.1" 200 126240 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
