110.232.248.227 - - [12/Oct/2016:23:27:13 -0700] "GET //css/bootstrap.css HTTP/1.1" 200 138415 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
110.232.248.227 - - [12/Oct/2016:23:27:14 -0700] "GET //js/bootstrap.min.js HTTP/1.1" 200 35601 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
110.232.248.227 - - [12/Oct/2016:23:27:25 -0700] "GET //img/logo.jpg HTTP/1.1" 200 139628 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
110.232.248.227 - - [12/Oct/2016:23:28:17 -0700] "GET /img/zocdoc-apt.jpg HTTP/1.1" 200 79396 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
199.16.156.126 - - [12/Oct/2016:23:28:17 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [12/Oct/2016:23:28:17 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [12/Oct/2016:23:28:17 -0700] "GET /images/endodontia-root-canal-treatment.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [12/Oct/2016:23:28:17 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.211 - - [12/Oct/2016:23:28:18 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.211 - - [12/Oct/2016:23:28:18 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"[0]
199.59.148.211 - - [12/Oct/2016:23:28:18 -0700] "GET /images/endodontia-root-canal-treatment.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
46.119.127.129 - - [12/Oct/2016:23:30:34 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32" "www.superior-dentistry.com"
46.119.127.129 - - [12/Oct/2016:23:30:35 -0700] "GET /blog/robots.txt HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32" "www.superior-dentistry.com"
