54.208.149.147 - - [25/Jan/2016:19:00:21 -0800] "GET / HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:23 -0800] "GET / HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:26 -0800] "GET /firstvisit.html HTTP/1.1" 200 24042 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:31 -0800] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 31039 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:33 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:34 -0800] "GET /firstvisit.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:35 -0800] "GET /testimonials.html HTTP/1.1" 200 24783 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:38 -0800] "GET /services.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:39 -0800] "GET /Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html HTTP/1.1" 200 33055 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:40 -0800] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 38040 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:41 -0800] "GET /index.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:43 -0800] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:47 -0800] "GET /extractions.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:52 -0800] "GET /treatment.php HTTP/1.1" 200 21262 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:53 -0800] "GET /patient.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:54 -0800] "GET /aboutus.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [25/Jan/2016:19:00:57 -0800] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 19779 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.236.1.4 - - [25/Jan/2016:19:02:11 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Pinterest/0.2 (http://www.pinterest.com/)" "www.superior-dentistry.com"
54.236.1.4 - - [25/Jan/2016:19:02:11 -0800] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD HTTP/1.1" 200 32565 "-" "Pinterest/0.2 (http://www.pinterest.com/)" "www.superior-dentistry.com"
123.125.71.106 - - [25/Jan/2016:19:17:26 -0800] "GET /firstvisit.html HTTP/1.1" 200 24042 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
208.122.6.102 - - [25/Jan/2016:19:49:03 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
65.36.241.48 - - [25/Jan/2016:19:54:02 -0800] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.superior-dentistry.com"
95.211.135.133 - - [25/Jan/2016:20:36:30 -0800] "HEAD / HTTP/1.1" 200 0 "-" "-" "www.superior-dentistry.com"
95.211.135.133 - - [25/Jan/2016:20:36:31 -0800] "GET / HTTP/1.1" 200 38156 "-" "-" "www.superior-dentistry.com"
95.211.135.133 - - [25/Jan/2016:20:36:31 -0800] "GET / HTTP/1.1" 200 38156 "-" "-" "www.superior-dentistry.com"
199.16.156.124 - - [25/Jan/2016:20:43:58 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.124 - - [25/Jan/2016:20:43:58 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
119.96.184.59 - - [25/Jan/2016:20:59:26 -0800] "GET /blog.php HTTP/1.1" 200 99736 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
119.96.184.59 - - [25/Jan/2016:20:59:31 -0800] "POST /blog.php/trackback/ HTTP/1.1" 200 99355 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
180.76.15.148 - - [25/Jan/2016:21:48:00 -0800] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
208.122.6.102 - - [25/Jan/2016:21:51:06 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:18 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:18 -0800] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:18 -0800] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:18 -0800] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:18 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 138415 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:18 -0800] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:18 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:18 -0800] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:18 -0800] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:19 -0800] "GET /img/dental-implants.jpg HTTP/1.1" 200 22844 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:19 -0800] "GET /img/extraction.jpg HTTP/1.1" 200 30135 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:19 -0800] "GET /img/jaw-surgery.jpg HTTP/1.1" 200 27058 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:19 -0800] "GET /img/logo.jpg HTTP/1.1" 200 139628 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:19 -0800] "GET /img/oral-pathology.jpg HTTP/1.1" 200 33395 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:19 -0800] "GET /img/tmj-trauma.jpg HTTP/1.1" 200 22488 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:19 -0800] "GET /img/meetdr-ali.jpg HTTP/1.1" 200 60533 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
70.208.129.221 - - [25/Jan/2016:22:05:19 -0800] "GET /img/meetdr-melika.jpg HTTP/1.1" 200 75968 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36" "www.superior-dentistry.com"
