52.55.48.3 - - [19/Oct/2016:18:32:59 -0700] "HEAD /Dental-Sites-We-Like.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.72.238.128 - - [19/Oct/2016:18:33:00 -0700] "HEAD /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.70.8.254 - - [19/Oct/2016:18:33:00 -0700] "HEAD /Dental-Links.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.55.131.124 - - [19/Oct/2016:18:33:00 -0700] "HEAD /Bowie-Dentists/Preventive-Dentistry-Maryland.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.55.48.3 - - [19/Oct/2016:18:33:00 -0700] "HEAD /Dentists-Bowie-MD.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"[0]
52.55.131.124 - - [19/Oct/2016:18:33:00 -0700] "HEAD /Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.55.131.124 - - [19/Oct/2016:18:33:00 -0700] "HEAD /services.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.55.48.3 - - [19/Oct/2016:18:33:01 -0700] "HEAD /meet-staff.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.70.8.254 - - [19/Oct/2016:18:33:01 -0700] "HEAD /contact-us.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.86.202.73 - - [19/Oct/2016:18:33:01 -0700] "HEAD /testimonials.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.45.250.210 - - [19/Oct/2016:18:33:01 -0700] "HEAD /Bowie-Dentists/Childrens-Dentistry-Maryland.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.86.202.73 - - [19/Oct/2016:18:33:01 -0700] "HEAD /contact-us.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
