63.223.124.83 - - [24/Jul/2016:00:12:44 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 24959 "-" "Opera/9.80 (Windows NT 6.1; Opera Tablet/15165; U; en) Presto/2.8.149 Version/11.1" "www.superior-dentistry.com"
71.212.77.241 - - [24/Jul/2016:00:12:44 -0700] "GET /firstvisit.php HTTP/1.1" 200 73 "-" "Opera/9.80 (Windows NT 6.0; U; en) Presto/2.8.99 Version/11.10" "www.superior-dentistry.com"
142.166.239.218 - - [24/Jul/2016:00:12:44 -0700] "GET /Bowie-Dentists/www.superior-dentistry.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0" "www.superior-dentistry.com"
216.146.133.228 - - [24/Jul/2016:00:12:45 -0700] "GET /Bowie-Dentists/Patient-Before-After-Gallery.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 4.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2049.0 Safari/537.36" "www.superior-dentistry.com"
93.186.167.125 - - [24/Jul/2016:00:12:45 -0700] "GET /Dentist-Bowie-MD/text/javascript HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1664.3 Safari/537.36" "www.superior-dentistry.com"
95.143.33.156 - - [24/Jul/2016:00:12:46 -0700] "GET /text/javascript HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.superior-dentistry.com"
95.143.46.173 - - [24/Jul/2016:00:12:46 -0700] "GET /Dentist-Bowie-MD/Patient-Before-After-Gallery.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0" "www.superior-dentistry.com"
94.103.36.133 - - [24/Jul/2016:00:12:47 -0700] "GET /Bowie-Dentists/blog.php HTTP/1.1" 200 416 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; chromeframe/12.0.742.112)" "www.superior-dentistry.com"
95.143.46.126 - - [24/Jul/2016:00:12:48 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36" "www.superior-dentistry.com"
108.82.82.240 - - [24/Jul/2016:00:12:48 -0700] "GET /Dentist-Bowie-MD/index.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (BlackBerry; U; BlackBerry 9860; en-US) AppleWebKit/534.11+ (KHTML, like Gecko) Version/7.0.0.254 Mobile Safari/534.11+" "www.superior-dentistry.com"
69.4.225.9 - - [24/Jul/2016:00:12:50 -0700] "GET /Bowie-Dentists/firstvisit.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0)" "www.superior-dentistry.com"
216.198.233.148 - - [24/Jul/2016:00:12:50 -0700] "GET /Bowie-Dentists/superior-dentistry.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 2.0.50727; Media Center PC 6.0)" "www.superior-dentistry.com"
69.61.18.124 - - [24/Jul/2016:00:12:51 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:22.0) Gecko/20130328 Firefox/22.0" "www.superior-dentistry.com"
23.239.160.116 - - [24/Jul/2016:00:12:51 -0700] "GET /Dentist-Bowie-MD/contact-us.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (iPad; CPU OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko ) Version/5.1 Mobile/9B176 Safari/7534.48.3" "www.superior-dentistry.com"
89.144.41.70 - - [24/Jul/2016:00:12:51 -0700] "GET /Dentist-Bowie-MD/meet-staff.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET CLR 1.1.4322; .NET4.0C; Tablet PC 2.0)" "www.superior-dentistry.com"
89.144.22.223 - - [24/Jul/2016:00:12:52 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Opera/9.80 (Windows NT 6.0; U; pl) Presto/2.10.229 Version/11.62" "www.superior-dentistry.com"
185.75.242.184 - - [24/Jul/2016:00:12:53 -0700] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30875 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2224.3 Safari/537.36" "www.superior-dentistry.com"
142.166.239.218 - - [24/Jul/2016:00:12:54 -0700] "GET /blog.php HTTP/1.1" 200 107037 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36" "www.superior-dentistry.com"
96.46.60.31 - - [24/Jul/2016:00:12:55 -0700] "GET /Bowie-Dentists/testimonials.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20130406 Firefox/23.0" "www.superior-dentistry.com"
198.16.7.150 - - [24/Jul/2016:01:20:28 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
213.113.120.252 - - [24/Jul/2016:01:55:46 -0700] "GET /img/night-guard.jpg HTTP/1.1" 200 106940 "https://www.google.se/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.superior-dentistry.com"
