96.231.40.8 - - [12/Apr/2016:20:36:26 -0700] "GET /img/offer-31-05-2014-new-patient.jpg HTTP/1.1" 200 15365 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
96.231.40.8 - - [12/Apr/2016:20:37:06 -0700] "GET /services.html HTTP/1.1" 200 34137 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
96.231.40.8 - - [12/Apr/2016:20:37:07 -0700] "GET /img/doctor-achievement.jpg HTTP/1.1" 200 200838 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
96.231.40.8 - - [12/Apr/2016:20:37:07 -0700] "GET /img/Teeth-Whitening1.jpg HTTP/1.1" 200 150063 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
96.231.40.8 - - [12/Apr/2016:20:37:07 -0700] "GET /img/white_composite_filling.jpg HTTP/1.1" 200 105229 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
96.231.40.8 - - [12/Apr/2016:20:37:08 -0700] "GET /img/implant-before-and-after.jpg HTTP/1.1" 200 122702 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
52.0.238.61 - - [12/Apr/2016:20:53:55 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; proximic; +http://www.proximic.com/info/spider.php)" "superior-dentistry.com"
180.76.15.20 - - [12/Apr/2016:21:20:33 -0700] "GET /html5 HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
66.249.69.162 - - [12/Apr/2016:22:13:03 -0700] "GET /img/jaw-surgery.jpg HTTP/1.1" 200 27058 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.162 - - [12/Apr/2016:22:14:54 -0700] "GET /img/dentures.jpg HTTP/1.1" 200 126240 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.162 - - [12/Apr/2016:22:14:55 -0700] "GET /img/invisalign.jpg HTTP/1.1" 200 142640 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.66.7 - - [12/Apr/2016:22:14:59 -0700] "GET /img/oral-pathology.jpg HTTP/1.1" 200 33395 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.162 - - [12/Apr/2016:22:25:09 -0700] "GET /img/periodontalsurgery.jpg HTTP/1.1" 200 56963 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.168 - - [12/Apr/2016:22:26:16 -0700] "GET /img/bridges-dentist-md.jpg HTTP/1.1" 200 67242 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.174 - - [12/Apr/2016:22:33:40 -0700] "GET /img/implant-before-and-after.jpg HTTP/1.1" 200 122702 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.168 - - [12/Apr/2016:22:46:28 -0700] "GET /Bowie-Dentists/images/care2.jpg HTTP/1.1" 200 401250 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.174 - - [12/Apr/2016:22:59:16 -0700] "GET /Bowie-Dentists/images/care5.jpg HTTP/1.1" 200 330601 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
195.154.187.115 - - [12/Apr/2016:23:57:52 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
195.154.187.115 - - [12/Apr/2016:23:57:54 -0700] "GET /%E2%80%9Dhttp://www.nicedentist.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
66.249.69.77 - - [13/Apr/2016:00:51:27 -0700] "GET /css/style.css HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.superior-dentistry.com"
66.249.69.85 - - [13/Apr/2016:00:51:27 -0700] "GET /js/js-image-slider.js HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.superior-dentistry.com"
66.249.69.85 - - [13/Apr/2016:00:59:36 -0700] "GET /Bowie-Dentists/images/care1.jpg HTTP/1.1" 200 284811 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
198.16.7.150 - - [13/Apr/2016:01:07:06 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
207.46.13.61 - - [13/Apr/2016:02:16:14 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27798 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "superior-dentistry.com"
52.3.146.92 - - [13/Apr/2016:02:18:26 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [13/Apr/2016:02:18:29 -0700] "GET / HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [13/Apr/2016:02:18:30 -0700] "GET /meet-staff.html HTTP/1.1" 200 22166 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
