111.13.102.7 - - [03/Feb/2016:19:41:20 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.superior-dentistry.com"
208.122.6.102 - - [03/Feb/2016:20:35:23 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
100.15.88.237 - - [03/Feb/2016:20:39:21 -0800] "GET /js/js-image-slider.js HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentistry-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
100.15.88.237 - - [03/Feb/2016:20:39:21 -0800] "GET /images/mainimg8.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentistry-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
100.15.88.237 - - [03/Feb/2016:20:39:21 -0800] "GET /images/fb.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentistry-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
100.15.88.237 - - [03/Feb/2016:20:39:21 -0800] "GET /images/youtube.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentistry-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
100.15.88.237 - - [03/Feb/2016:20:39:21 -0800] "GET /images/Pinterest.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentistry-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
100.15.88.237 - - [03/Feb/2016:20:39:21 -0800] "GET /images/g+.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentistry-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
100.15.88.237 - - [03/Feb/2016:20:39:21 -0800] "GET /images/twitter.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentistry-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
100.15.88.237 - - [03/Feb/2016:20:39:22 -0800] "GET /images/mainimg8.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentistry-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
100.15.88.237 - - [03/Feb/2016:20:39:22 -0800] "GET /images/Pinterest.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentistry-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
40.77.167.56 - - [03/Feb/2016:20:49:06 -0800] "GET /Dentist-Bowie-MD/js/?M=A HTTP/1.1" 200 6862 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
208.122.6.102 - - [03/Feb/2016:21:36:43 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
220.181.108.155 - - [03/Feb/2016:21:40:32 -0800] "GET /meet-staff.html HTTP/1.1" 200 22166 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
66.249.69.168 - - [03/Feb/2016:21:40:38 -0800] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.superior-dentistry.com"
40.77.167.25 - - [03/Feb/2016:21:58:04 -0800] "GET /testimonials.html HTTP/1.1" 200 24783 "-" "Mozilla/5.0 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.25 - - [03/Feb/2016:21:59:12 -0800] "GET /meet-staff.html HTTP/1.1" 200 22166 "-" "Mozilla/5.0 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.25 - - [03/Feb/2016:22:00:12 -0800] "GET /blog.php HTTP/1.1" 200 99736 "-" "Mozilla/5.0 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.56 - - [03/Feb/2016:22:00:25 -0800] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "Mozilla/5.0 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
42.119.22.223 - - [03/Feb/2016:22:00:48 -0800] "GET /?author=1 HTTP/1.1" 200 38156 "-" "Chilkat/1.0.0 (+http://www.chilkatsoft.com/ChilkatHttpUA.asp)" "superior-dentistry.com"
42.119.22.223 - - [03/Feb/2016:22:00:52 -0800] "GET /administrator/index.php HTTP/1.1" 404 89 "-" "Chilkat/1.0.0 (+http://www.chilkatsoft.com/ChilkatHttpUA.asp)" "superior-dentistry.com"
40.77.167.70 - - [03/Feb/2016:22:02:58 -0800] "GET /Dental-Links.html HTTP/1.1" 200 27636 "-" "Mozilla/5.0 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.40 - - [03/Feb/2016:22:03:10 -0800] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 200 40166 "-" "Mozilla/5.0 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.25 - - [03/Feb/2016:22:04:01 -0800] "GET /Bowie-Dentists/Childrens-Dentistry-Maryland.html HTTP/1.1" 200 39945 "-" "Mozilla/5.0 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.56 - - [03/Feb/2016:22:04:31 -0800] "GET /index.html HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
184.153.243.106 - - [03/Feb/2016:22:05:22 -0800] "GET /Bowie-Dentists/images/care1.jpg HTTP/1.1" 200 284811 "https://www.google.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
40.77.167.56 - - [03/Feb/2016:22:05:43 -0800] "GET /firstvisit.html HTTP/1.1" 200 24042 "-" "Mozilla/5.0 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.40 - - [03/Feb/2016:22:09:55 -0800] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
206.16.134.29 - - [03/Feb/2016:22:18:21 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20120101 Firefox/29.0" "superior-dentistry.com"
206.16.134.19 - - [03/Feb/2016:22:28:58 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20120101 Firefox/29.0" "superior-dentistry.com"
69.251.233.115 - - [03/Feb/2016:22:35:55 -0800] "GET /images/care5.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
69.251.233.115 - - [03/Feb/2016:22:36:55 -0800] "GET /images/care4.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36" "www.superior-dentistry.com"
