96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/services3.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/mainimg1.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/mainimg2.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/care1.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/youtube.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/care6.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/meetdr1.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/patientform.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/offer-31-05-2014-whitening.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/cut-offer.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/offer-31-05-2014-sonicare-brush.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/offer-31-05-2014-new-patient.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
96.241.156.42 - - [21/Dec/2015:17:25:38 -0800] "GET /images/Patient-apt-icon2.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentists-Bowie-MD.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
