66.249.66.5 - - [05/Apr/2016:22:31:26 -0700] "GET /img/meetdr-melika.jpg HTTP/1.1" 200 75968 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
198.16.7.150 - - [05/Apr/2016:23:14:52 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
40.77.167.53 - - [05/Apr/2016:23:39:49 -0700] "GET /img/office-slider2.jpg HTTP/1.1" 200 148450 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
164.82.84.24 - - [05/Apr/2016:23:45:00 -0700] "GET /img/doctor-achievement.jpg HTTP/1.1" 200 200838 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/13.1.72140 Mobile/13E238 Safari/600.1.4" "www.superior-dentistry.com"
157.55.39.135 - - [06/Apr/2016:00:00:10 -0700] "GET /img/office-slider3.jpg HTTP/1.1" 200 116344 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.53 - - [06/Apr/2016:00:14:45 -0700] "GET /img/periodontalsurgery.jpg HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
157.55.39.219 - - [06/Apr/2016:00:18:22 -0700] "GET /img/invisalign.jpg HTTP/1.1" 200 142640 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
216.69.191.97 - - [06/Apr/2016:01:13:46 -0700] "GET / HTTP/1.1" 200 38156 "-" "['Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:28.0) Gecko/20100101 Firefox/28.0 GD']" "superior-dentistry.com"
198.16.7.150 - - [06/Apr/2016:01:17:00 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
123.125.71.73 - - [06/Apr/2016:01:28:45 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"[1]
54.236.1.69 - - [06/Apr/2016:01:59:25 -0700] "GET /images/patientform.png HTTP/1.1" 404 89 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"[0]
54.236.1.69 - - [06/Apr/2016:01:59:25 -0700] "GET /images/meetdr2.png HTTP/1.1" 404 89 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"
54.236.1.68 - - [06/Apr/2016:01:59:26 -0700] "GET /images/meetdr1.png HTTP/1.1" 404 89 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"
198.16.7.150 - - [06/Apr/2016:02:19:18 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
